GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
log-parser,com.logparser.logs,RequestLogEntry,0,145,0,22,0,27,0,19,0,8
log-parser,com.logparser.logs,APMLogEntry,0,69,0,2,0,13,0,7,0,6
log-parser,com.logparser.logs,ApplicationLogEntry,0,62,0,0,0,11,0,6,0,6
log-parser,com.logparser.parsers,ApplicationLogParser,0,118,1,9,0,22,1,8,0,4
log-parser,com.logparser.parsers,RequestLogParser,0,89,0,8,0,16,0,7,0,3
log-parser,com.logparser.parsers,APMLogParser,0,79,0,6,0,17,0,6,0,3
log-parser,com.logparser,App,32,193,2,16,5,50,3,10,1,2
log-parser,com.logparser.handlers,LogHandler,0,26,0,4,0,7,0,5,0,3
log-parser,com.logparser.handlers,RequestLogHandler,0,8,0,0,0,3,0,1,0,1
log-parser,com.logparser.handlers,ApplicationLogHandler,0,8,0,0,0,3,0,1,0,1
log-parser,com.logparser.handlers,APMLogHandler,0,8,0,0,0,3,0,1,0,1
log-parser,com.logparser.aggregators,APMLogAggregator,0,173,0,6,0,32,0,8,0,5
log-parser,com.logparser.aggregators,RequestLogAggregator,2,343,1,19,1,59,1,21,0,12
log-parser,com.logparser.aggregators,ApplicationLogAggregator,0,37,0,2,0,8,0,4,0,3
